 _count, _0_u_d, _0_d_d, _0_u_u, _0_d_u,t_count,t_0_u_d,t_0_d_d,t_0_u_u,t_0_d_u,a_count,a_0_u_d,a_0_d_d,a_0_u_u,a_0_d_u,c_count,c_0_u_d,c_0_d_d,c_0_u_u,c_0_d_u,h_count,h_0_u_d,h_0_d_d,h_0_u_u,h_0_d_u,e_count,e_0_u_d,e_0_d_d,e_0_u_u,e_0_d_u,r_count,r_0_u_d,r_0_d_d,r_0_u_u,r_0_d_u,s_count,s_0_u_d,s_0_d_d,s_0_u_u,s_0_d_u,p_count,p_0_u_d,p_0_d_d,p_0_u_u,p_0_d_u,o_count,o_0_u_d,o_0_d_d,o_0_u_u,o_0_d_u,f_count,f_0_u_d,f_0_d_d,f_0_u_u,f_0_d_u,i_count,i_0_u_d,i_0_d_d,i_0_u_u,i_0_d_u,n_count,n_0_u_d,n_0_d_d,n_0_u_u,n_0_d_u,l_count,l_0_u_d,l_0_d_d,l_0_u_u,l_0_d_u,d_count,d_0_u_d,d_0_d_d,d_0_u_u,d_0_d_u,m_count,m_0_u_d,m_0_d_d,m_0_u_u,m_0_d_u,y_count,y_0_u_d,y_0_d_d,y_0_u_u,y_0_d_u,b_count,b_0_u_d,b_0_d_d,b_0_u_u,b_0_d_u,u_count,u_0_u_d,u_0_d_d,u_0_u_u,u_0_d_u,g_count,g_0_u_d,g_0_d_d,g_0_u_u,g_0_d_u,._count,._0_u_d,._0_d_d,._0_u_u,._0_d_u,v_count,v_0_u_d,v_0_d_d,v_0_u_u,v_0_d_u,w_count,w_0_u_d,w_0_d_d,w_0_u_u,w_0_d_u
1,269609300,316497800,353826000,46888500,1,178109100,262325800,253619600,84216700,1,53441200,169352200,131561500,115911000,1,188982400,226771200,257622400,37788800,1,147178000,200604800,200593800,53426800,1,354271300,401166200,432428800,46894900,1,178450500,253961000,247507300,75510500,1,184521600,258582200,253515100,74060600,1,131132500,184572600,184513400,53440100,1,262699400,300508900,347369900,37809500,1,216054600,300739500,285110200,84684900,1,147033800,216124800,278572000,69091000,1,654050300,724418500,718910900,70368200,1,138093400,254021400,222732800,115928000,1,148572100,233216100,285167300,84644000,1,200611900,285164600,283269600,84552700,1,323072900,385587100,410067000,62514200,1,338778300,385650400,401294700,46872100,1,370004300,439081300,432521300,69077000,1,84673800,216212000,131474500,131538200,1,318533200,401190900,371960000,82657700,1,131536000,216062900,231892300,84526900,1,222591400,269392100,291623500,46800700
1,610079400,768304100,705311700,158224700,1,785168100,918096000,881392100,132927900,1,47615500,192944000,180543400,145328500,1,108127300,214272100,248000300,106144800,1,67455300,166655800,225183600,99200500,1,736560000,814432100,822864900,77872100,1,152271900,226176000,247008000,73904100,1,528240200,626944700,622977000,98704500,1,88783400,191951800,169135600,103168400,1,95230600,189967400,194926800,94736800,1,573871000,657200300,693903000,83329300,1,280240200,347200800,390352100,66960600,1,606607300,749952100,763840100,143344800,1,266847800,363567900,383904000,96720100,1,1362511800,1446832600,1499904200,84320800,1,955295700,1052016100,1061439800,96720400,1,1030687200,1136831500,1175520000,106144300,1,141855400,229152200,243039500,87296800,1,503936200,701344800,596687700,197408600,1,378447300,462271700,476160100,83824400,1,598176200,704320300,697376700,106144100,1,326863700,394320100,420609600,67456400,1,248495100,346207900,313968100,97712800
1,558633100,623609200,622122200,64976100,1,573589500,637078600,696170100,63489100,1,188457400,320517500,254921300,132060100,1,195679000,271070500,262438100,75391500,1,209920700,270431700,313585900,60511000,1,807102200,884450700,954203400,77348500,1,525929400,650710900,541801200,124781500,1,661746300,725231800,762435200,63485500,1,192972000,260679900,263158900,67707900,1,82338800,206338400,145824300,123999600,1,178790600,231791100,306828100,53000500,1,227206200,305078300,290694700,77872100,1,151775700,224687400,232621700,72911700,1,271815600,335304100,336765100,63488500,1,174604600,252972500,233629700,78367900,1,475098300,595130700,553467200,120032400,1,601416300,670361300,755176400,68945000,1,142273100,207222600,213189400,64949500,1,306291400,376723700,470778700,70432300,1,543809200,624134200,638544400,80325000,1,48140200,73930700,136578600,25790500,1,146529800,213864300,219441500,67334500,1,169172000,263907200,232659000,94735200
1,250571200,353785000,347155900,103213800,1,127282400,223867100,205198800,96584700,1,115836700,255113900,173728800,139277200,1,93637600,225828200,217219100,132190600,1,872025400,1073299900,970658900,201274500,1,798268000,903649500,883892400,105381500,1,148777700,226694100,181452400,77916400,1,277265700,375424800,376277600,98159100,1,311101800,405987800,392122800,94886000,1,104845100,203857000,203463600,99011900,1,244919300,325831700,324442600,80912400,1,242743700,293483100,345295700,50739400,1,-13962800,169400200,94796400,183363000,1,253445600,270402000,372938600,16956400,1,968023200,1090769100,1076790500,122745900,1,664943800,842273400,851420800,177329600,1,275019000,377991200,349887700,102972200,1,44542800,189271400,151258500,144728600,1,291577900,373223100,411856600,81645200,1,128559600,231111600,252648200,102552000,1,-168864037600,-168677560600,858762700,186477000,1,123765100,242613700,246874500,118848600,1,333256500,457345100,350212900,124088600
1,440519000,460148000,479439000,19629000,1,286174000,323748000,303885000,37574000,1,390720000,425957000,428294000,35237000,1,672765000,689978000,709399000,17213000,1,153074000,194472000,172703000,41398000,1,307939000,344183000,328753000,36244000,1,221441000,243273000,259836000,21832000,1,275443000,313336000,297566000,37893000,1,234064000,250886000,265616000,16822000,1,479071000,517466000,515044000,38395000,1,298875000,314593000,333943000,15718000,1,360521000,397915000,395359000,37394000,1,151184000,191461000,168897000,40277000,1,309491000,344371000,346885000,34880000,1,637228000,675269000,674950000,38041000,1,275919000,315613000,293291000,39694000,1,255580000,287845000,271508000,32265000,1,384345000,405159000,421862000,20814000,1,266581000,304357000,297679000,37776000,1,654344000,680196000,679896000,25852000,1,543469000,579442000,563164000,35973000,1,289237000,328564000,329514000,39327000,1,212367000,235096000,249163000,22729000
1,283619500,325565200,355209400,41945700,1,728796300,800386200,784683900,71589900,1,290381500,409710700,402634700,119329200,1,50152900,124705900,160670000,74553000,1,110819300,193879900,189355900,83060600,1,217896200,357602800,289114600,139706600,1,530816800,551788600,572201400,20971800,1,519377300,549299200,540349100,29921900,1,105756000,154617800,190857500,48861800,1,321937200,365420500,392769200,43483300,1,161153500,245230500,204347100,84077000,1,286018000,349481400,363806200,63463400,1,97071800,137971200,197757100,40899400,1,165556700,243344900,214265200,77788200,1,163573600,259273500,221855900,95699900,1,283758100,349603900,354816100,65845800,1,1133994000,1221459800,1189082000,87465800,1,112926300,161634800,222458600,48708500,1,364367000,415918100,422964700,51551100,1,131703500,240340300,203592000,108636800,1,513300900,584358900,596361500,71058000,1,208509700,268453200,249409100,59943500,1,568876500,636475900,650656300,67599400
1,516133100,532175400,602222000,16042300,1,641896200,727985100,701902600,86088900,1,475883300,556897500,542765100,81014200,1,311032300,388107400,325023100,77075100,1,378320900,440321900,396325200,62001000,1,496364700,559779500,565220300,63414800,1,282992100,342998500,345951200,60006400,1,781659500,884621300,846669000,102961800,1,179032500,255004200,280996600,75971700,1,206002700,271012200,281034700,65009500,1,223149700,277607700,279138600,54458000,1,279319400,327364100,315315300,48044700,1,335144300,387230900,352180500,52086600,1,526239900,626204600,607254100,99964700,1,390881400,446878700,448986100,55997300,1,357336400,428497000,400285300,71160600,1,833146900,884846700,929094200,51699800,1,315742700,385601700,333693400,69859000,1,375837700,466808200,433789900,90970500,1,294570500,365568400,342504900,70997900,1,540544900,583493800,633381700,42948900,1,257560400,319561700,311587800,62001300,1,232633400,280567800,285449200,47934400
1,277214200,354984100,361920700,77769900,1,386526800,475512200,486655000,88985400,1,91477900,288078300,180463300,196600400,1,63016900,299066200,136637800,236049300,1,90561300,182567200,151315200,92005900,1,389068300,513075400,453708200,124007100,1,168338600,258827200,336451600,90488600,1,33001400,208912200,120094500,175910800,1,79867100,179853900,200242600,99986800,1,79261600,247374600,197668700,168113000,1,123524300,281954300,273723700,158430000,1,223551500,303970900,355944300,80419400,1,122691900,204746400,199893600,82054500,1,172910300,222914100,249194500,50003800,1,189343300,315859400,271397800,126516100,1,310005500,392112700,436034400,82107200,1,590876100,757494100,814318800,166618000,1,87006800,197016700,148010100,110009900,1,84005500,212015700,276121200,128010200,1,361985600,460999100,492443700,99013500,1,393201800,519230700,485207700,126028900,1,424487800,476223100,579461500,51735300,1,111502800,241960900,161506600,130458100
1,1312252300,1406338900,1369305000,94086600,1,658083700,789205800,778699900,131122100,1,343196600,486326500,474318700,143129900,1,292025500,365092300,358882700,73066800,1,105095700,169158200,220200300,64062500,1,825115400,922211400,962935200,97096000,1,338312300,406376100,394868100,68063800,1,732085400,824170200,789137700,92084800,1,828590800,836598200,890648000,8007400,1,351825200,408381000,443910000,56555800,1,443980700,504035300,477010100,60054600,1,203184900,264110200,317293300,60925300,1,675805100,735282800,763885200,59477700,1,336814000,392868300,384857500,56054300,1,236086100,301145400,295563800,65059300,1,217198100,273755200,279258000,56557100,1,419261900,433784200,518620600,14522300,1,136130300,184173800,230216900,48043500,1,334811800,392864400,374848900,58052600,1,743392000,857500400,819460700,114108400,1,500323700,540360600,621076300,40036900,1,150112000,236471900,286236200,86359900,1,1023685600,1176824800,1096752400,153139200
1,296271650,358887595,390433737,62615945,1,219451672,313613759,355632875,94162087,1,122808362,298747874,237417347,175939512,1,114962418,262334594,170256243,147372176,1,36896076,186425175,144227376,149529099,1,146943706,210231270,413492341,63287564,1,136789733,248835793,265371213,112046060,1,182644961,309021140,314720472,126376179,1,30061744,164607616,93421339,134545872,1,237330914,365912394,297261203,128581480,1,45892270,161403462,152980892,115511192,1,185431097,248679422,363892034,63248325,1,114250626,238029541,206551819,123778915,1,223002516,283413861,297441834,60411345,1,53396802,207646465,177175717,154249663,1,317314791,392285036,477644230,74970245,1,484232556,589324097,614782787,105091541,1,68155147,175248331,140275944,107093184,1,106764354,183680937,328511952,76916583,1,145038185,218758018,246636991,73719833,1,346006374,506335813,495535473,160329439,1,49605125,155478215,105408858,105873090,1,53582570,155181376,113993915,101598806
1,896814600,944858000,975885800,48043400,1,175158900,231209700,290263300,56050800,1,120109200,240217900,192174600,120108700,1,43038400,160145300,124112000,117106900,1,159144600,223202500,240218000,64057900,1,726660000,808734400,853775200,82074400,1,79072200,200182100,153138800,121109900,1,272247500,424385600,335304500,152138100,1,148134400,216196300,216196100,68061900,1,327297100,391354700,440399800,64057600,1,135122700,216196300,210190600,81073600,1,280253800,336304400,382346700,56050600,1,104094500,200181700,152137500,96087200,1,170154300,272247200,233211400,102092900,1,144130800,216195700,240218000,72064900,1,479435100,528479300,559507800,49044200,1,309280800,432392500,416378100,123111700,1,96087200,159144300,144130600,63057100,1,463420500,551500300,535485900,88079800,1,298270200,391354400,383347700,93084200,1,344312200,416377700,400363000,72065500,1,94085300,216196500,167152000,122111200,1,198179300,280254200,246222900,82074900
1,592350700,653348600,655345100,60997900,1,306953400,413952900,415960600,106999500,1,407382000,527374600,478381600,119992600,1,289714500,406714800,396730700,117000300,1,411085900,483080600,488087500,71994700,1,439992500,543985200,545992300,103992700,1,373468100,482475300,500469500,109007200,1,413517000,521518800,474516500,108001800,1,269938200,360936700,332940100,90998500,1,305563600,374561800,442569300,68998200,1,272011400,368005000,365000900,95993600,1,275999300,368000400,341999200,92001100,1,966129900,1057130600,1035130600,91000700,1,646589500,720583500,720596300,73994000,1,245999500,329998500,337000200,83999000,1,1196310300,1269314100,1269303200,73003800,1,595712400,655708800,656712800,59996400,1,1125077800,1200069900,1199077800,74992100,1,407787100,483786800,481781100,75999700,1,301394400,418393900,411394800,116999500,1,809249900,882242800,879255400,72992900,1,310286100,427280500,331279500,116994400,1,288999100,398999500,354999700,110000400
1,1330003000,1347843000,1347522000,17840000,1,472809000,490328000,492057000,17519000,1,649950000,665187000,667475000,15237000,1,784656000,803064000,801516000,18408000,1,373344000,390220000,391783000,16876000,1,1304260000,1323220000,1322054000,18960000,1,511424000,527858000,527847000,16434000,1,598731000,617248000,616877000,18517000,1,392076000,406285000,405417000,14209000,1,432510000,450656000,452741000,18146000,1,370311000,385712000,384224000,15401000,1,369313000,387129000,384951000,17816000,1,715152000,732804000,731907000,17652000,1,587938000,603576000,607058000,15638000,1,359160000,376883000,376764000,17723000,1,1295063000,1309784000,1312588000,14721000,1,753430000,767378000,768468000,13948000,1,550212000,569332000,567658000,19120000,1,585969000,603880000,603401000,17911000,1,1117661000,1135326000,1136517000,17665000,1,1457531000,1475056000,1474621000,17525000,1,296453000,313865000,314105000,17412000,1,759737000,778593000,777385000,18856000
1,456846300,479842600,478846900,22996300,1,154956000,207994300,262955400,53038300,1,241005500,301005900,309000600,60000400,1,265734500,321682200,321680700,55947700,1,134001800,200997600,201000200,66995800,1,188061300,242061300,299999200,54000000,1,255545800,363545200,346546200,107999400,1,259072600,352078400,280073600,93005800,1,94054100,143053600,141027500,48999500,1,151999500,173000500,206006000,21001000,1,222999200,302998400,240000400,79999200,1,263050800,284098500,283056100,21047700,1,122999200,191938400,179999500,68939200,1,175994700,196000000,250993800,20005300,1,124041700,241041700,199093300,117000000,1,259940400,278893800,285941000,18953400,1,279191300,331192600,341190200,52001300,1,68077800,143076900,89077400,74999100,1,287999400,311000100,373005100,23000700,1,164001500,229001600,238053900,65000100,1,-53619938400,-53556883500,484634600,63054900,1,151218600,222237600,207219100,71019000,1,133062900,207115300,155053900,74052400
1,386149500,403151100,419153900,17001600,1,237017000,270021400,270018500,33004400,1,380027300,406029500,441086100,26002200,1,295581300,325584600,330583700,30003300,1,171015500,260046000,200016500,89030500,1,678839100,737844300,714844400,59005200,1,187013400,220014900,277020600,33001500,1,354148200,428155500,389148600,74007300,1,381147700,458154600,468152200,77006900,1,236018000,271018400,269021200,35000400,1,217015000,286016400,244017900,69001400,1,331531800,391534300,370536500,60002500,1,195015300,269021700,230377000,74006400,1,262354600,362363600,288356800,100009000,1,1100858000,1199865200,1135860700,99007200,1,793056700,830062600,881065000,37005900,1,1058637400,1090636500,1148640700,31999100,1,771848700,862854300,832852000,91005600,1,375059100,480070300,411087500,105011200,1,339163800,355162600,371168100,15998800,1,622965000,710973300,727485400,88008300,1,337036300,430043000,369038100,93006700,1,370800100,402804400,403803800,32004300
