timeDown::timeUp::key::l_shift::r_shift
1619992983101011600::1619992983223645300:: ::0::1
1619992983270983300::1619992983368764800::t::0::1
1619992983396448800::1619992983570532100::e::0::1
1619992983551724900::1619992983693031100::a::0::1
1619992983896727200::1619992984021990100::c::0::1
1619992984053865500::1619992984163800000::h::0::1
1619992984222935500::1619992984364236200::e::0::1
1619992984502852900::1619992984643267200::r::0::1
1619992984784231900::1619992984940942800::'::0::1
1619992984956136300::1619992985065913000::s::0::1
1619992985111875900::1619992985206159100:: ::0::1
1619992985300116400::1619992985423009700::p::0::1
1619992985501335200::1619992985624085600::r::0::1
1619992985579360000::1619992985701916600::o::0::1
1619992985873270500::1619992985983839400::f::0::1
1619992986003911700::1619992986107310500::e::0::1
1619992986171325100::1619992986248422000::s::0::1
1619992986311157200::1619992986422638100::s::0::1
1619992986434419200::1619992986610705500::i::0::1
1619992986621440600::1619992986729350200::o::0::1
1619992987233881300::1619992987351305400::n::0::1
1619992987459635400::1619992987586104100::a::0::1
1619992987633681800::1619992987738711700::l::0::1
1619992987845432500::1619992987957151900:: ::0::1
1619992988205533300::1619992988299588100::d::0::1
1619992988330907400::1619992988442423300::u::0::1
1619992988549132300::1619992988642685100::t::0::1
1619992988672294700::1619992988812205700::i::0::1
1619992988932490700::1619992989091192800::e::0::1
1619992989138029500::1619992989240321400::s::0::1
1619992989334204700::1619992989464279500:: ::0::1
1619992989666218700::1619992989741890400::m::0::1
1619992989633986300::1619992989751385200::a::0::1
1619992989871269100::1619992990006153400::y::0::1
1619992990052974400::1619992990146178600:: ::0::1
1619992990346964100::1619992990424622800::backspace::0::1
1619992990516704400::1619992990579735300::backspace::0::1
1619992990676525700::1619992990750138200::backspace::0::1
1619992990829433600::1619992990906718400::backspace::0::1
1619992991090865300::1619992991218508400::a::0::1
1619992991526604200::1619992991605124800::backspace::0::1
1619992991853452100::1619992991977310100::m::0::1
1619992991996428200::1619992992102462000::a::0::1
1619992992110952800::1619992992225905400::y::0::1
1619992992288487500::1619992992393423300:: ::0::1
1619992992548628400::1619992992673848600::e::0::1
1619992992754194300::1619992992864901300::x::0::1
1619992992936873500::1619992993048736600::t::0::1
1619992993080662500::1619992993191038400::e::0::1
1619992993316326800::1619992993412229500::n::0::1
1619992993500918900::1619992993584398800::d::0::1
1619992993649382600::1619992993772492500:: ::0::1
1619992993986317300::1619992994094114300::b::0::1
1619992994095160700::1619992994216747900::e::0::1
1619992994376370200::1619992994480774300::y::0::1
1619992994590681100::1619992994713641100::o::0::1
1619992994761151700::1619992994879554900::n::0::1
1619992995052187700::1619992995145958000::d::0::1
1619992995188770500::1619992995305054000:: ::0::1
1619992995460789200::1619992995557735100::w::0::1
1619992995586065500::1619992995692899500::o::0::1
1619992995941227500::1619992996017722700::backspace::0::1
1619992996096111300::1619992996173806100::backspace::0::1
1619992996190458100::1619992996298638600::f::0::1
1619992996360706800::1619992996472799300::o::0::1
1619992996484257700::1619992996590279300::r::0::1
1619992996717725400::1619992996824296600::m::0::1
1619992996888509800::1619992997009344900::a::0::1
1619992997039922200::1619992997149234500::l::0::1
1619992997217566400::1619992997316315100:: ::0::1
1619992997399380700::1619992997491118200::t::0::1
1619992997493137300::1619992997610666800::e::0::1
1619992997615307600::1619992997755375700::a::0::1
1619992997881836700::1619992998004582900::c::0::1
1619992998007680300::1619992998113111500::h::0::1
1619992998160653100::1619992998330491100::i::0::1
1619992998286152100::1619992998388343200::n::0::1
1619992998394937200::1619992998487501200::g::0::1
1619992998626905300::1619992998702789600::.::0::1
1619992998785327400::1619992998862513700:: ::0::1
1619992999203633100::1619992999307324800::u::0::1
1619992999636265500::1619992999728337900::t::0::1
1619992999946610900::1619993000069642800::s::0::1
1619993000086421600::1619993000209059600::i::0::1
1619993000271992700::1619993000348456300::d::0::1
1619993000396944000::1619993000504051200::e::0::1
1619993000566268300::1619993000659817400:: ::0::1
1619993000738032000::1619993000831057900::o::0::1
1619993000768517300::1619993000891404200::f::0::1
1619993000939214500::1619993001019254100:: ::0::1
1619993001020491100::1619993001131027500::t::0::1
1619993001116828500::1619993001219138200::h::0::1
1619993001204944500::1619993001373514200::e::0::1
1619993001403804100::1619993001513373800:: ::0::1
1619993001623070800::1619993001740500100::c::0::1
1619993001791851400::1619993001890161800::l::0::1
1619993001968090100::1619993002075011400::a::0::1
1619993002169216200::1619993002292485100::s::0::1
1619993002325132600::1619993002432637700::s::0::1
1619993002572210200::1619993002684348500::r::0::1
1619993002712161400::1619993002819588900::o::0::1
1619993002963030700::1619993003050076300::m::0::1
1619993003098597600::1619993003188153400::m::0::1
1619993003877490000::1619993003952091500::backspace::0::1
1619993004061260200::1619993004122801300::backspace::0::1
1619993004231798500::1619993004323749700::backspace::0::1
1619993005178280800::1619993005270908000::o::0::1
1619993005329910100::1619993005369771400::n::0::1
1619993005341228800::1619993005472738900::o::0::1
1619993005956570500::1619993006064707200::backspace::0::1
1619993006640851100::1619993006733951600::backspace::0::1
1619993007047753600::1619993007201169100::o::0::1
1619993007278170700::1619993007402089800::m::0::1
1619993007946930900::1619993008054481600:: ::0::1
1619993008179573700::1619993008267451300::t::0::1
1619993008272586500::1619993008380386900::e::0::1
1619993008404984000::1619993008555542200::a::0::1
1619993008774117000::1619993008894751700::h::0::1
1619993009174967600::1619993009251593500::backspace::0::1
1619993009286476800::1619993009407915300::c::0::1
1619993009427030900::1619993009561972800::h::0::1
1619993009609367300::1619993009731845300::e::0::1
1619993009826321700::1619993009948817800::r::0::1
1619993010005270500::1619993010135800900::s::0::1
1619993010291748600::1619993010403918200:: ::0::1
1619993010628229400::1619993010742073500::m::0::1
1619993010758076600::1619993010871898900::a::0::1
1619993010861215400::1619993010960113700::y::0::1
1619993011023000100::1619993011114505100:: ::0::1
1619993011162150900::1619993011268998700::a::0::1
1619993011378668000::1619993011472152400::c::0::1
1619993011535859200::1619993011651527100::c::0::1
1619993011659892300::1619993011800437900::o::0::1
1619993011836935700::1619993011939038300::m::0::1
1619993012063533600::1619993012169925500::p::0::1
1619993012248204500::1619993012357105600::a::0::1
1619993012750943200::1619993012841310100::n::0::1
1619993012903495000::1619993013010359600::y::0::1
1619993013089637500::1619993013165806100:: ::0::1
1619993013230217200::1619993013383532700::s::0::1
1619993013352862800::1619993013447357800::t::0::1
1619993013449405600::1619993013540681000::u::0::1
1619993013603993900::1619993013679395500::d::0::1
1619993013710974000::1619993013866066400::e::0::1
1619993013943745100::1619993014052001100::n::0::1
1619993014146774200::1619993014259436300::t::0::1
1619993014389681900::1619993014503876500::s::0::1
1619993014535290100::1619993014627064300:: ::0::1
1619993014706280700::1619993014830305600::o::0::1
1619993014832378100::1619993014938834700::n::0::1
1619993014993112600::1619993015079303400:: ::0::1
1619993015127434700::1619993015218657800::a::0::1
1619993015454594900::1619993015530140800::backspace::0::1
1619993015547628800::1619993015671493500::f::0::1
1619993015811022000::1619993015964233800::i::0::1
1619993016278319900::1619993016430088100::e::0::1
1619993016525479300::1619993016630413000::l::0::1
1619993016722674000::1619993016833084800::d::0::1
1619993016870773100::1619993016972500600:: ::0::1
1619993016995628100::1619993017109963800::t::0::1
1619993017206503700::1619993017359236100::r::0::1
1619993017344507400::1619993017467910200::i::0::1
1619993017685624700::1619993017808083600::p::0::1
1619993017980397000::1619993018089064000::s::0::1
1619993018121322200::1619993018227173300::,::0::1
1619993018275228700::1619993018382318600:: ::0::1
1619993018509676600::1619993018617112500::s::0::1
1619993018650257300::1619993018751464800::u::0::1
1619993018901699200::1619993019006276400::p::0::1
1619993019210456200::1619993019332188900::r::0::1
1619993019303905400::1619993019456220800::i::0::1
1619993019740339500::1619993019816195800::backspace::0::1
1619993020240523700::1619993020332173400::backspace::0::1
1619993020545688800::1619993020672800500::e::0::1
1619993020689965400::1619993020797994300::r::0::1
1619993021125669200::1619993021247257500::s::0::1
1619993021516208200::1619993021592550500::backspace::0::1
1619993021609534400::1619993021701022600::v::0::1
1619993021798083800::1619993021918320900::i::0::1
1619993021952110100::1619993022059453700::s::0::1
1619993022123453000::1619993022230935600::e::0::1
1619993022375121800::1619993022450759700:: ::0::1
1619993022680766300::1619993022853901800::s::0::1
1619993022824277200::1619993022937821200::t::0::1
1619993022926020500::1619993023007872500::u::0::1
1619993023086909400::1619993023181573000::d::0::1
1619993023228358400::1619993023304175300::i::0::1
1619993023634141400::1619993023709450900::backspace::0::1
1619993023896689900::1619993024022343500::y::0::1
1619993024086637600::1619993024194455400:: ::0::1
1619993024289124000::1619993024380847900::d::0::1
1619993024538923200::1619993024660904000::a::0::1
1619993024739575800::1619993024816688700::l::0::1
1619993024897133600::1619993024972080500::l::0::1
1619993025050454800::1619993025159495900::s::0::1
1619993025254747000::1619993025362181800::,::0::1
1619993025424884000::1619993025516555400:: ::0::1
1619993025953493900::1619993026014618400::backspace::0::1
1619993026108831000::1619993026169672100::backspace::0::1
1619993026264813900::1619993026341263900::backspace::0::1
1619993026419026900::1619993026495549200::backspace::0::1
1619993026606393200::1619993026667147000::backspace::0::1
1619993026760975100::1619993026853095000::backspace::0::1
1619993027089542300::1619993027196135600::backspace::0::1
1619993027477967400::1619993027584456000::d::0::1
1619993027865434800::1619993027957465500::backspace::0::1
1619993028110872800::1619993028235016100::h::0::1
1619993028283960300::1619993028405321300::a::0::1
1619993028485167200::1619993028560849400::l::0::1
1619993028640967900::1619993028733452900::l::0::1
1619993028781205700::1619993028888383700::s::0::1
1619993028904824300::1619993029029007700::,::0::1
1619993029077997400::1619993029169664300:: ::0::1
1619993029372569300::1619993029480687600::h::0::1
1619993029836896800::1619993029958308700::e::0::1
1619993030054228600::1619993030145463200::l::0::1
1619993030365023500::1619993030470576500::p::0::1
1619993030519399800::1619993030624606200:: ::0::1
1619993030721046000::1619993030858108800::w::0::1
1619993031202919300::1619993031309881100::i::0::1
1619993031438668200::1619993031543714200::h::0::1
1619993031623159600::1619993031699415600::t::0::1
1619993031903540300::1619993031963934700::backspace::0::1
1619993032044712400::1619993032119696400::backspace::0::1
1619993032198560100::1619993032278159600::t::0::1
1619993032275939400::1619993032399523200::h::0::1
1619993032449362500::1619993032556098800:: ::0::1
1619993032574556000::1619993032683082300::t::0::1
1619993032697655700::1619993032822311300::h::0::1
1619993032886799500::1619993033040690900::e::0::1
1619993033120294800::1619993033212402000:: ::0::1
1619993033384608000::1619993033507462600::o::0::1
1619993033633767200::1619993033770855100::r::0::1
1619993034035192200::1619993034128548700::g::0::1
1619993034208360100::1619993034341499900::a::0::1
1619993034384804100::1619993034489076200::n::0::1
1619993034585543400::1619993034674089000::i::0::1
1619993034816584400::1619993034954001900::z::0::1
1619993035111034900::1619993035218491800::t::0::1
1619993035653734300::1619993035733052300::backspace::0::1
1619993035731034100::1619993035842353600::a::0::1
1619993036062012000::1619993036153741800::t::0::1
1619993036176874900::1619993036340952700::i::0::1
1619993036364383400::1619993036525771700::o::0::1
1619993036442942200::1619993036588559800::n::0::1
